Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;2,9;0;6,4;1,8;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;2,9;0;6,4;1,8;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;2,9;0;6,4;1,8;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;2,9;0;6,4;1,8;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3500709;Agudos;Total;Total;1,6;1,7;2,8;0,5;--;--
2019;Sudeste;SP;3500709;Agudos;Urbana;Total;1,6;1,7;2,8;0,5;--;--
2019;Sudeste;SP;3500709;Agudos;Total;Estadual;1,9;1,9;3,5;0,5;--;--
2019;Sudeste;SP;3500709;Agudos;Urbana;Estadual;1,9;1,9;3,5;0,5;--;--
2019;Sudeste;SP;3500709;Agudos;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3500709;Agudos;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3500709;Agudos;Total;Pública;1,9;1,9;3,5;0,5;--;--
2019;Sudeste;SP;3500709;Agudos;Urbana;Pública;1,9;1,9;3,5;0,5;--;--
2019;Sudeste;SP;3500758;Alambari;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Rural;Total;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3500758;Alambari;Rural;Pública;--;--;--;--;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;6,8;12,7;8;0;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;6,8;12,7;8;0;--;--
