Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3500501;Águas de Lindóia;35017361;FRANCISCO TOZZI DR;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35017632;VICENTE RIZZO DR;Urbana;Estadual;6,1;10,2;5,5;0,0;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35143133;COLEGIO ANGLO AGUAS;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35192533;GERALDO MANTOVANI DR EMEIEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35230662;LUIZ BARBOSA EM;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35230674;IVAN GALVAO DE FRANCA PROF EMEIEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35289097;PEDRO FACCHINI COMENDADOR EM;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500501;Águas de Lindóia;35451034;CREUSA APARECIDA MARIANO PROFA EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;35014515;PAULO DELICIO;Urbana;Estadual;2,9;0,0;6,4;1,8;--;--
2019;Sudeste;SP;3500550;Águas de Santa Bárbara;35221200;PAULO APARECIDO SILVERIO EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;35021234;ANGELO FRANZIN;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500600;Águas de São Pedro;35215348;MARIA LUIZA FORNASIER FRANZIN EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35007997;MANOEL GONCALVES PROF;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35025987;JOAO BATISTA DE AQUINO PE;Urbana;Estadual;1,4;1,7;2,3;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35026001;MARIA BATAGLIN DELAZARI;Urbana;Estadual;3,0;9,1;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35026037;JOAO BATISTA RIBEIRO;Urbana;Estadual;4,8;3,2;10,2;2,0;--;--
2019;Sudeste;SP;3500709;Agudos;35049670;FARID FAYAD PROF;Urbana;Estadual;1,6;2,5;2,4;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35082028;LYDIA THIEDE PROFA EMEFEI E CRECHE;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35086605;MARIA LECTICIA SORMANI COGO PROFA EMEI CRECHE;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35089148;SILVIA MARIA AMATO TRIGO PROFA EMEFEI;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35115770;SESI 114 CENTRO EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35115812;INSTITUTO NOSSA SENHORA DO SAGRADO CORACAO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35116221;MAXIMO COLEGIO E UEEI TIA ZI;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35223955;SERGIO AUGUSTO MAININI PROFESSOR EMEFEI;Urbana;Municipal;--;--;--;--;--;--
